"Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"75","        Educational services",77.1,79.9,87.7,95.2,101.7,106.5,116.8,129.0,133.2,142.9,151.5,167.8,188.2,199.0,206.3,214.2,217.6,226.2,233.4,246.2
"76","        Health care and social assistance",513.5,535.8,566.4,600.1,648.1,700.5,746.0,798.2,837.0,892.4,936.5,1017.2,1078.8,1112.3,1149.9,1195.1,1230.8,1266.4,1337.8,1406.4
"77","            Ambulatory health care services",250.9,258.6,271.3,288.3,310.9,334.1,350.5,375.1,396.9,423.1,442.5,481.1,507.2,532.0,555.8,574.6,594.3,611.8,644.4,682.9
"78","            Hospitals",165.2,173.1,182.3,190.1,206.9,225.9,244.8,265.2,274.9,294.7,310.7,339.9,367.4,369.9,382.3,398.5,405.9,416.3,443.7,461.0
"79","            Nursing and residential care facilities",57.9,61.1,64.9,69.1,74.5,80.8,85.6,90.2,92.8,97.7,102.5,110.5,116.4,120.7,123.2,126.0,129.1,132.5,137.6,143.0
"80","            Social assistance",39.5,43.0,47.9,52.6,55.8,59.7,65.1,67.7,72.4,76.9,80.8,85.7,87.7,89.7,88.7,96.0,101.5,106.0,112.1,119.5
"81","    Arts, entertainment, recreation, accommodation, and food services",301.8,322.1,354.2,386.5,390.7,413.5,432.1,461.1,481.1,511.4,533.6,542.9,533.0,556.2,581.9,622.7,652.3,691.9,747.0,790.5
"82","        Arts, entertainment, and recreation",80.1,82.8,90.4,99.0,96.7,103.8,111.0,117.8,122.2,130.4,137.4,143.2,144.5,152.4,158.7,171.8,177.8,189.3,193.6,207.2
"83","            Performing arts, spectator sports, museums, and related activities",37.2,40.6,44.5,49.3,51.8,56.9,62.0,65.1,67.1,73.5,75.6,81.5,84.8,87.9,93.0,101.8,104.5,112.5,112.9,122.2
"84","            Amusements, gambling, and recreation industries",43.0,42.2,45.9,49.7,44.9,46.8,49.1,52.8,55.1,57.0,61.8,61.7,59.7,64.6,65.7,70.0,73.2,76.8,80.6,85.0
"85","        Accommodation and food services",221.6,239.2,263.7,287.5,294.0,309.7,321.1,343.3,358.9,381.0,396.2,399.6,388.5,403.8,423.2,451.0,474.5,502.6,553.5,583.2
"86","            Accommodation",70.7,75.7,84.2,93.3,90.1,92.7,94.1,102.4,108.9,115.9,124.5,123.5,107.3,112.1,122.0,128.9,136.9,143.1,157.6,160.2
"87","            Food services and drinking places",150.9,163.6,179.6,194.2,203.9,217.0,226.9,240.9,250.0,265.1,271.7,276.2,281.1,291.7,301.2,322.1,337.6,359.5,395.9,423.0
"88","    Other services, except government",230.3,248.7,260.9,279.7,265.5,284.9,283.8,297.2,310.6,325.0,330.5,330.3,326.4,328.2,333.5,348.6,356.7,376.8,391.6,400.5
"89","Government",1145.6,1191.3,1252.3,1323.0,1392.9,1474.4,1552.3,1631.3,1710.3,1792.0,1887.1,1981.6,2045.1,2108.0,2137.1,2159.5,2212.5,2271.4,2339.4,2384.2
"90","    Federal",390.7,396.4,406.0,423.5,430.4,462.5,498.9,525.5,551.3,575.5,601.9,632.2,663.3,697.4,712.3,713.9,703.8,715.8,731.3,743.0
"91","        General government",333.5,336.8,345.0,360.3,370.3,397.8,434.7,459.4,488.4,509.9,535.7,569.1,603.0,640.0,659.8,663.7,658.4,666.8,673.7,683.9
"92","            National defense",211.8,210.4,212.0,217.6,223.0,239.7,264.3,281.0,301.2,315.1,331.1,352.6,372.7,393.5,407.1,407.6,400.1,400.0,398.4,399.1
"93","            Nondefense",121.7,126.4,133.0,142.7,147.3,158.1,170.4,178.4,187.2,194.8,204.6,216.4,230.3,246.5,252.6,256.1,258.3,266.8,275.3,284.8
"94","        Government enterprises",57.2,59.6,61.0,63.2,60.2,64.6,64.2,66.1,62.9,65.7,66.1,63.2,60.3,57.5,52.5,50.2,45.4,49.0,57.6,59.1
"95","    State and local",754.8,794.9,846.4,899.5,962.5,1011.9,1053.5,1105.8,1159.0,1216.4,1285.2,1349.4,1381.7,1410.5,1424.8,1445.6,1508.7,1555.5,1608.2,1641.2
"96","        General government",689.3,726.2,773.1,824.0,882.3,930.6,970.1,1019.3,1067.0,1122.1,1191.2,1252.1,1280.5,1306.1,1313.1,1325.5,1380.9,1421.1,1467.3,1498.6
"97","        Government enterprises",65.5,68.7,73.2,75.5,80.2,81.3,83.3,86.5,92.0,94.4,94.0,97.3,101.2,104.4,111.7,120.1,127.8,134.4,140.8,142.6
"","    Addenda:","","","","","","","","","","","","","","","","","","","",""
"98","            Private goods-producing industries1",1926.1,1991.8,2084.5,2219.9,2183.7,2170.2,2302.8,2502.7,2698.9,2890.1,3021.1,2989.8,2670.7,2776.8,2936.1,3028.8,3188.0,3307.1,3268.2,3234.5
"99","            Private services-producing industries2",5505.9,5879.7,6294.3,6708.0,7005.3,7284.6,7601.3,8083.2,8630.0,9133.5,9566.0,9798.4,9762.3,10164.2,10526.5,11065.7,11442.7,11972.2,12598.4,13076.4
"100","            Information-communications-technology-producing industries3",505.0,544.1,579.6,632.8,610.2,620.9,653.1,706.2,755.4,795.1,853.1,905.0,888.3,939.1,977.7,989.3,1065.2,1097.6,1183.6,1255.6
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
