"Gross Output by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 16, 2021"
"Line","","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    24","      Miscellaneous manufacturing",44.4,44.5,47.8,48.4,49.8,58.4,65.0,68.3,73.6,76.2,80.9,87.9,91.6,98.3,105.2,110.8
"    25","    Nondurable goods",943.5,971.4,1030.0,1029.5,994.5,1113.2,1205.2,1292.6,1350.4,1352.8,1390.4,1422.2,1486.6,1595.4,1636.7,1708.1
"    26","      Food and beverage and tobacco products",290.0,298.0,313.5,317.1,324.1,348.1,375.2,404.8,420.3,431.5,445.2,455.3,468.3,491.0,508.8,531.8
"    27","      Textile mills and textile product mills",50.4,56.7,59.0,56.4,58.5,67.7,70.8,73.5,71.7,71.8,76.8,80.3,84.9,86.2,85.9,89.1
"    28","      Apparel and leather and allied products",57.7,59.9,61.0,59.8,59.7,66.5,68.8,67.6,68.5,69.9,74.6,77.9,81.5,82.9,83.6,87.2
"    29","      Paper products",78.5,82.8,91.6,91.4,95.9,104.1,117.6,126.2,126.5,124.5,126.2,126.2,136.0,166.0,152.7,149.2
"    30","      Printing and related support activities",42.6,45.7,51.5,54.8,57.8,66.4,70.8,74.4,78.4,76.8,81.4,83.2,85.6,92.6,95.9,98.4
"    31","      Petroleum and coal products",205.1,187.0,182.0,170.7,119.5,130.1,130.0,144.2,170.6,157.6,148.4,143.4,142.2,150.0,171.5,175.7
"    32","      Chemical products",162.6,179.3,199.7,205.2,202.4,241.7,274.4,298.0,306.6,313.1,323.2,332.5,352.8,380.6,387.7,417.6
"    33","      Plastics and rubber products",56.6,62.0,71.7,74.1,76.7,88.6,97.7,103.9,107.9,107.6,114.6,123.2,135.3,146.0,150.4,159.0
"    34","  Wholesale trade",288.0,288.8,334.2,363.8,378.9,412.0,455.1,479.4,509.9,516.2,537.8,580.3,635.5,690.8,711.9,747.2
"    35","  Retail trade",338.4,361.6,388.8,440.0,458.1,514.3,536.2,566.6,589.1,596.8,629.9,679.4,741.1,786.2,824.4,857.3
"    36","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    37","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    38","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    39","    Other retail","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    40","  Transportation and warehousing",218.3,231.6,255.2,257.9,265.1,285.7,315.2,331.8,353.2,357.9,376.2,398.7,426.9,449.0,471.6,499.4
"    41","    Air transportation",40.1,43.9,50.3,53.8,58.0,67.4,75.4,77.8,80.6,81.2,83.0,90.5,95.5,101.9,106.1,114.3
"    42","    Rail transportation",32.9,32.0,35.2,33.0,31.2,31.9,33.7,34.2,34.8,34.3,35.2,35.4,37.1,38.2,38.2,38.2
"    43","    Water transportation",15.6,15.9,16.3,16.3,16.3,15.7,17.4,17.6,18.5,19.0,19.1,20.2,20.7,22.5,24.2,24.8
"    44","    Truck transportation",52.6,59.2,66.4,68.6,71.2,80.4,90.6,98.5,108.8,109.1,118.0,124.6,137.9,143.6,151.7,162.0
"    45","    Transit and ground passenger transportation",13.0,13.5,14.5,15.2,15.5,15.5,16.4,17.3,18.6,19.4,19.8,20.3,20.8,21.9,23.0,24.3
"    46","    Pipeline transportation",20.0,20.7,21.5,20.3,19.8,18.9,19.0,19.3,19.4,19.1,20.3,21.8,22.5,22.0,23.9,24.3
"    47","    Other transportation and support activities",35.9,37.3,40.6,40.2,41.5,43.7,49.2,52.8,57.1,60.0,63.7,67.4,72.1,76.4,80.9,85.2
"    48","    Warehousing and storage",8.3,9.1,10.4,10.6,11.7,12.1,13.6,14.4,15.4,15.7,17.2,18.5,20.3,22.5,23.6,26.3
"    49","  Information",233.5,260.8,284.6,305.6,333.1,350.7,375.0,397.7,422.6,440.6,463.9,504.1,544.4,598.6,662.4,730.6
"    50","    Publishing industries, except internet (includes software)",53.5,61.0,67.4,70.1,78.6,89.0,97.3,103.5,109.3,113.0,117.2,129.5,139.9,153.5,171.0,190.8
"    51","    Motion picture and sound recording industries",25.0,27.7,30.9,33.0,36.6,38.4,41.6,46.6,49.9,53.7,55.8,62.5,68.5,76.5,85.8,89.5
"    52","    Broadcasting and telecommunications",137.8,153.2,166.4,182.0,196.3,203.4,213.8,222.4,235.5,244.5,259.4,278.1,298.2,326.7,361.0,404.1
"    53","    Data processing, internet publishing, and other information services",17.1,18.9,19.9,20.6,21.5,19.9,22.2,25.1,27.8,29.4,31.6,34.0,37.9,41.9,44.6,46.2
"    54","  Finance, insurance, real estate, rental, and leasing",742.4,863.6,951.0,1074.3,1162.5,1256.6,1366.6,1463.9,1561.4,1628.4,1718.2,1842.7,1954.6,2076.7,2249.2,2411.9
"    55","    Finance and insurance",280.7,356.5,391.1,454.2,486.5,527.6,552.1,588.7,609.4,646.1,678.6,744.0,775.8,838.6,918.9,1005.9
"    56","      Federal Reserve banks, credit intermediation, and related activities",122.3,163.9,168.6,191.4,215.0,225.8,237.0,240.7,248.6,262.3,275.5,293.3,306.6,326.6,359.0,393.8
"    57","      Securities, commodity contracts, and investments",29.2,42.9,39.8,48.5,62.6,71.0,64.1,74.1,69.6,83.0,89.1,110.5,107.7,136.3,173.3,206.0
"    58","      Insurance carriers and related activities",113.6,132.3,162.3,190.6,182.9,195.4,218.9,239.3,257.2,268.8,281.3,301.8,323.2,332.0,337.1,350.0
"    59","      Funds, trusts, and other financial vehicles",15.6,17.5,20.4,23.7,26.1,35.4,32.1,34.6,34.0,32.0,32.8,38.4,38.3,43.8,49.5,56.1
"    60","    Real estate and rental and leasing",461.7,507.0,559.9,620.2,675.9,728.9,814.5,875.2,952.0,982.4,1039.6,1098.7,1178.8,1238.1,1330.3,1406.0
"    61","      Real estate",418.7,459.1,505.6,560.3,612.0,662.3,734.9,788.7,857.5,889.8,942.0,992.6,1062.6,1113.2,1190.7,1256.1
"    62","        Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    63","        Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    64","      Rental and leasing services and lessors of intangible assets",43.0,47.9,54.3,59.9,64.0,66.6,79.6,86.5,94.5,92.5,97.6,106.1,116.3,124.9,139.6,149.9
"    65","  Professional and business services",322.3,362.8,418.7,471.7,518.7,568.1,644.8,718.7,784.1,803.6,854.8,915.9,984.7,1080.0,1191.0,1345.9
"    66","    Professional, scientific, and technical services",185.3,207.9,238.8,271.5,299.9,332.7,379.6,426.2,464.0,475.4,503.0,540.0,572.7,627.7,695.9,799.8
"    67","      Legal services",45.3,49.8,56.5,64.7,71.9,81.4,92.7,101.5,111.5,114.5,124.5,129.1,132.6,134.6,145.3,155.6
"    68","      Computer systems design and related services",19.4,20.9,23.8,25.3,27.3,26.6,31.3,37.2,40.1,42.6,40.5,55.7,63.0,74.6,84.4,123.9
"    69","      Miscellaneous professional, scientific, and technical services",120.6,137.2,158.5,181.4,200.7,224.7,255.6,287.5,312.3,318.3,337.9,355.1,377.1,418.5,466.2,520.3
"    70","    Management of companies and enterprises",67.1,75.4,85.9,94.0,101.6,104.5,110.9,118.2,125.5,130.6,138.3,147.7,158.3,168.4,179.8,195.2
"    71","    Administrative and waste management services",69.9,79.6,94.0,106.2,117.2,130.8,154.4,174.3,194.6,197.6,213.5,228.3,253.7,283.9,315.4,350.9
"    72","      Administrative and support services",58.1,66.6,79.3,88.7,98.6,110.8,130.8,148.4,166.1,169.3,182.5,194.9,217.4,245.6,275.1,308.9
"    73","      Waste management and remediation services",11.8,12.9,14.7,17.5,18.6,20.0,23.5,25.9,28.4,28.3,31.0,33.4,36.3,38.3,40.3,42.0
"    74","  Educational services, health care, and social assistance",265.6,299.3,328.6,360.7,394.9,438.9,495.3,545.4,606.9,659.4,720.6,760.3,795.5,841.8,884.2,929.4
"    75","    Educational services",38.8,42.4,45.9,49.5,53.2,56.7,63.0,68.9,74.6,79.3,84.5,89.2,94.3,100.7,108.5,113.1
"    76","    Health care and social assistance",226.7,256.8,282.7,311.2,341.7,382.3,432.3,476.4,532.4,580.1,636.1,671.1,701.2,741.0,775.7,816.3
"    77","      Ambulatory health care services",89.9,103.4,117.1,132.1,147.4,170.6,195.1,214.0,240.3,262.5,292.5,309.6,328.4,352.2,368.9,388.2
"    78","      Hospitals and nursing and residential care facilities",121.7,136.7,147.0,157.9,170.7,185.0,205.1,227.5,253.4,278.1,301.5,316.0,324.3,337.1,352.7,366.5
"    79","      Hospitals","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    80","      Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    81","      Social assistance",15.1,16.7,18.6,21.2,23.6,26.6,32.1,34.9,38.6,39.5,42.2,45.5,48.5,51.6,54.0,61.6
"    82","  Arts, entertainment, recreation, accommodation, and food services",192.8,209.6,227.8,244.7,261.3,287.2,319.5,340.7,369.9,380.1,403.6,431.8,459.0,486.2,516.1,550.8
"    83","    Arts, entertainment, and recreation",35.0,38.5,41.1,44.8,46.7,49.4,55.8,61.3,69.7,72.8,81.5,89.8,97.3,108.7,118.6,127.4
"    84","      Performing arts, spectator sports, museums, and related activities",16.9,18.5,19.9,21.2,22.0,23.1,25.7,27.1,32.1,33.9,37.0,41.9,45.7,50.6,55.9,59.3
"    85","      Amusements, gambling, and recreation industries",18.1,20.0,21.2,23.6,24.8,26.3,30.1,34.2,37.6,38.9,44.5,48.0,51.6,58.1,62.6,68.1
"    86","    Accommodation and food services",157.7,171.1,186.7,199.9,214.6,237.8,263.7,279.4,300.2,307.3,322.1,341.9,361.7,377.5,397.5,423.4
"    87","      Accommodation",35.7,38.9,45.2,50.6,53.8,61.2,67.3,70.9,74.7,76.0,82.5,87.5,94.8,101.5,109.2,116.5
"    88","      Food services and drinking places",122.0,132.1,141.5,149.3,160.8,176.5,196.4,208.5,225.6,231.3,239.6,254.4,266.9,276.0,288.3,307.0
"    89","  Other services, except government",113.0,127.3,143.2,161.6,173.4,190.4,211.5,229.7,243.4,243.2,266.9,278.8,299.0,321.7,339.9,352.0
"    90","Government",706.9,762.7,817.7,892.3,955.8,1004.9,1067.4,1150.0,1237.7,1317.7,1382.4,1431.7,1492.3,1548.4,1599.0,1665.2
"    91","  Federal",306.5,330.6,350.2,379.8,402.0,415.9,434.5,458.3,484.4,511.8,519.9,519.4,524.6,527.0,530.6,541.5
"    92","    General government",273.4,295.9,313.6,339.0,359.4,371.3,385.9,406.7,429.8,453.0,459.0,456.6,458.7,456.2,457.0,465.1
"    93","      National defense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    94","      Nondefense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    95","    Government enterprises",33.2,34.7,36.6,40.8,42.6,44.7,48.5,51.6,54.7,58.8,60.9,62.8,65.9,70.8,73.7,76.4
"    96","  State and local",400.4,432.1,467.5,512.5,553.8,589.0,632.9,691.7,753.3,805.9,862.5,912.3,967.7,1021.3,1068.4,1123.6
"    97","    General government",355.6,381.6,410.2,449.0,484.4,519.5,558.6,611.8,668.7,716.9,769.2,810.9,857.7,904.5,944.4,993.5
"    98","    Government enterprises",44.7,50.6,57.3,63.6,69.4,69.6,74.3,79.9,84.6,89.0,93.3,101.5,110.0,116.8,124.0,130.1
"    99","Addenda:","","","","","","","","","","","","","","","",""
"    100","    Private goods-producing industries [1]",2593.2,2684.0,2982.0,3025.9,2968.5,3215.6,3456.1,3642.1,3738.1,3644.8,3799.7,3961.6,4251.5,4529.8,4758.2,5041.8
"    101","    Private services-producing industries [2]",2875.0,3184.2,3514.2,3857.5,4106.7,4487.0,4910.8,5277.8,5648.8,5845.5,6198.9,6631.1,7083.0,7575.1,8106.2,8686.4
"    102","    Information-communications-technology-producing industries [3]","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
